ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776930780.156859238,tbench-wg-server,0.00,516KiB,0.10,42.7MB,42.7MB
1776930780.156859238,tbench-wg-client,0.00,512KiB,0.00,18.8MB,18.7MB
1776930780.156859238,tbench-wg-probe,0.00,396KiB,0.00,1.28kB,126B
1776930783.744564062,tbench-wg-server,0.00,516KiB,0.10,122MB,122MB
1776930783.744564062,tbench-wg-client,0.00,512KiB,0.00,122MB,122MB
1776930783.744564062,tbench-wg-probe,0.00,396KiB,0.00,1.39kB,126B
1776930787.380202014,tbench-wg-server,0.00,516KiB,0.10,183MB,183MB
1776930787.380202014,tbench-wg-client,0.00,512KiB,0.00,209MB,209MB
1776930787.380202014,tbench-wg-probe,0.00,396KiB,0.00,1.39kB,126B
1776930791.046770891,tbench-wg-server,0.00,516KiB,0.10,297MB,298MB
1776930791.046770891,tbench-wg-client,0.00,512KiB,0.00,273MB,273MB
1776930791.046770891,tbench-wg-probe,0.00,396KiB,0.00,1.46kB,126B
1776930794.673964512,tbench-wg-server,0.00,516KiB,0.10,387MB,387MB
1776930794.673964512,tbench-wg-client,0.00,512KiB,0.00,387MB,386MB
1776930794.673964512,tbench-wg-probe,0.00,396KiB,0.00,1.46kB,126B
1776930798.326877104,tbench-wg-server,0.00,516KiB,0.10,447MB,448MB
1776930798.326877104,tbench-wg-client,0.00,512KiB,0.00,471MB,470MB
1776930798.326877104,tbench-wg-probe,0.00,396KiB,0.00,1.46kB,126B
1776930801.950637447,tbench-wg-server,0.00,516KiB,0.10,550MB,551MB
1776930801.950637447,tbench-wg-client,0.00,512KiB,0.00,528MB,528MB
1776930801.950637447,tbench-wg-probe,0.00,396KiB,0.00,1.46kB,126B
1776930805.626130450,tbench-wg-server,0.00,516KiB,0.10,638MB,638MB
1776930805.626130450,tbench-wg-client,0.00,512KiB,0.00,638MB,638MB
1776930805.626130450,tbench-wg-probe,0.00,396KiB,0.00,1.46kB,126B
1776930809.261549461,tbench-wg-server,0.00,516KiB,0.10,701MB,702MB
1776930809.261549461,tbench-wg-client,0.00,512KiB,0.00,748MB,747MB
1776930809.261549461,tbench-wg-probe,0.00,396KiB,0.00,1.61kB,126B
1776930812.920339647,tbench-wg-server,0.00,516KiB,0.10,1.16GB,1.13GB
1776930812.920339647,tbench-wg-client,0.00,512KiB,0.00,1.28GB,1.32GB
1776930812.920339647,tbench-wg-probe,0.00,396KiB,0.00,1.7kB,126B
1776930816.543916888,tbench-wg-server,0.00,516KiB,0.10,1.91GB,1.85GB
1776930816.543916888,tbench-wg-client,0.00,512KiB,0.00,1.68GB,1.74GB
1776930816.543916888,tbench-wg-probe,0.00,396KiB,0.00,1.7kB,126B
1776930820.158056912,tbench-wg-server,0.00,516KiB,0.10,2.33GB,2.24GB
1776930820.158056912,tbench-wg-client,0.00,512KiB,0.00,2.38GB,2.5GB
1776930820.158056912,tbench-wg-probe,0.00,396KiB,0.00,1.7kB,126B
1776930823.778219302,tbench-wg-server,0.00,516KiB,0.10,2.93GB,2.81GB
1776930823.778219302,tbench-wg-client,0.00,512KiB,0.00,2.94GB,3.1GB
1776930823.778219302,tbench-wg-probe,0.00,396KiB,0.00,1.7kB,126B
1776930827.397759218,tbench-wg-server,0.00,516KiB,0.10,3.7GB,3.53GB
1776930827.397759218,tbench-wg-client,0.00,512KiB,0.00,3.49GB,3.7GB
1776930827.397759218,tbench-wg-probe,0.00,396KiB,0.00,1.7kB,126B
1776930831.019839772,tbench-wg-server,0.00,516KiB,0.10,4.13GB,3.95GB
1776930831.019839772,tbench-wg-client,0.00,512KiB,0.00,4.06GB,4.3GB
1776930831.019839772,tbench-wg-probe,0.00,396KiB,0.00,1.7kB,126B
1776930834.647625967,tbench-wg-server,0.00,516KiB,0.10,4.72GB,4.5GB
1776930834.647625967,tbench-wg-client,0.00,512KiB,0.00,4.6GB,4.89GB
1776930834.647625967,tbench-wg-probe,0.00,396KiB,0.00,1.7kB,126B
1776930838.267222087,tbench-wg-server,0.00,516KiB,0.10,5.44GB,5.18GB
1776930838.267222087,tbench-wg-client,0.00,512KiB,0.00,5.11GB,5.44GB
1776930838.267222087,tbench-wg-probe,0.00,396KiB,0.00,1.7kB,126B
