ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776930536.097359657,tbench-bo-server,59.78,31.91MiB,6.23,795MB,770MB
1776930536.097359657,tbench-bo-client,83.28,4.445MiB,0.03,777MB,776MB
1776930536.097359657,tbench-bo-probe,9.09,117.8MiB,0.74,649kB,790MB
1776930536.097359657,tbench-bo-origin,57.41,9.34MiB,0.06,369MB,3.29MB
1776930539.657569621,tbench-bo-server,59.66,32.19MiB,6.29,2.14GB,2.12GB
1776930539.657569621,tbench-bo-client,85.99,4.328MiB,0.03,1.75GB,1.74GB
1776930539.657569621,tbench-bo-probe,8.99,116.1MiB,0.73,1.68MB,2.12GB
1776930539.657569621,tbench-bo-origin,59.56,9.645MiB,0.06,2.12GB,18.8MB
1776930543.217641079,tbench-bo-server,59.50,32.18MiB,6.29,3.52GB,3.51GB
1776930543.217641079,tbench-bo-client,85.22,4.113MiB,0.03,3.54GB,3.53GB
1776930543.217641079,tbench-bo-probe,9.19,115MiB,0.72,2.73MB,3.5GB
1776930543.217641079,tbench-bo-origin,59.70,9.707MiB,0.06,3.13GB,27.9MB
1776930546.780214950,tbench-bo-server,59.76,31.89MiB,6.23,4.8GB,4.8GB
1776930546.780214950,tbench-bo-client,86.96,3.758MiB,0.02,4.84GB,4.83GB
1776930546.780214950,tbench-bo-probe,9.20,112.7MiB,0.71,3.71MB,4.77GB
1776930546.780214950,tbench-bo-origin,58.89,9.465MiB,0.06,4.41GB,39.3MB
1776930550.347580910,tbench-bo-server,59.32,32.42MiB,6.33,6.19GB,6.2GB
1776930550.347580910,tbench-bo-client,84.64,4.047MiB,0.03,6.25GB,6.23GB
1776930550.347580910,tbench-bo-probe,9.31,117.3MiB,0.73,4.77MB,6.16GB
1776930550.347580910,tbench-bo-origin,59.82,9.262MiB,0.06,5.8GB,51.9MB
1776930553.906083611,tbench-bo-server,59.78,31.93MiB,6.24,7.55GB,7.57GB
1776930553.906083611,tbench-bo-client,85.06,3.934MiB,0.02,7.25GB,7.24GB
1776930553.906083611,tbench-bo-probe,9.02,115.4MiB,0.72,5.82MB,7.51GB
1776930553.906083611,tbench-bo-origin,59.60,9.547MiB,0.06,7.57GB,67.9MB
1776930557.467721670,tbench-bo-server,59.67,32.31MiB,6.31,8.94GB,8.97GB
1776930557.467721670,tbench-bo-client,84.83,4.406MiB,0.03,9.04GB,9.02GB
1776930557.467721670,tbench-bo-probe,8.97,113.8MiB,0.71,6.88MB,8.9GB
1776930557.467721670,tbench-bo-origin,60.44,9.832MiB,0.06,8.58GB,77MB
1776930561.031527576,tbench-bo-server,59.49,31.93MiB,6.24,9.94GB,9.97GB
1776930561.031527576,tbench-bo-client,86.76,4.828MiB,0.03,10.4GB,10.4GB
1776930561.031527576,tbench-bo-probe,9.55,117.1MiB,0.73,7.93MB,10.3GB
1776930561.031527576,tbench-bo-origin,59.42,9.641MiB,0.06,10.4GB,92.9MB
1776930564.596535656,tbench-bo-server,59.64,32.93MiB,6.43,11.7GB,11.7GB
1776930564.596535656,tbench-bo-client,87.06,3.867MiB,0.02,11.8GB,11.8GB
1776930564.596535656,tbench-bo-probe,9.55,118.2MiB,0.74,8.66MB,11.2GB
1776930564.596535656,tbench-bo-origin,59.42,9.426MiB,0.06,11.3GB,101MB
1776930568.162406825,tbench-bo-server,59.36,32.46MiB,6.34,13.1GB,13.1GB
1776930568.162406825,tbench-bo-client,85.64,3.711MiB,0.02,13.2GB,13.2GB
1776930568.162406825,tbench-bo-probe,9.06,114.1MiB,0.71,10MB,13GB
1776930568.162406825,tbench-bo-origin,60.03,9.703MiB,0.06,12.7GB,114MB
1776930571.721849886,tbench-bo-server,59.33,32.02MiB,6.25,14.4GB,14.4GB
1776930571.721849886,tbench-bo-client,84.54,4.059MiB,0.03,14.6GB,14.5GB
1776930571.721849886,tbench-bo-probe,9.03,116.3MiB,0.73,11MB,14.3GB
1776930571.721849886,tbench-bo-origin,59.71,10MiB,0.06,14GB,126MB
1776930575.287136290,tbench-bo-server,59.36,32.23MiB,6.29,15.8GB,15.8GB
1776930575.287136290,tbench-bo-client,85.74,4.277MiB,0.03,16GB,15.9GB
1776930575.287136290,tbench-bo-probe,9.49,114.9MiB,0.72,12.1MB,15.7GB
1776930575.287136290,tbench-bo-origin,59.98,9.566MiB,0.06,15.4GB,138MB
1776930578.847133981,tbench-bo-server,59.61,32.4MiB,6.33,17.2GB,17.2GB
1776930578.847133981,tbench-bo-client,86.07,4.234MiB,0.03,17GB,16.9GB
1776930578.847133981,tbench-bo-probe,9.37,120.5MiB,0.75,13.1MB,17.1GB
1776930578.847133981,tbench-bo-origin,60.27,9.605MiB,0.06,17.3GB,155MB
1776930582.404030777,tbench-bo-server,59.36,32.36MiB,6.32,18.6GB,18.6GB
1776930582.404030777,tbench-bo-client,86.00,3.695MiB,0.02,18.4GB,18.3GB
1776930582.404030777,tbench-bo-probe,8.96,121.6MiB,0.76,14.2MB,18.5GB
1776930582.404030777,tbench-bo-origin,59.93,9.648MiB,0.06,18.6GB,167MB
1776930585.963361999,tbench-bo-server,59.93,32.09MiB,6.27,19.5GB,19.6GB
