ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776930620.311779769,tbench-ra-server,60.61,37.61MiB,7.35,943MB,914MB
1776930620.311779769,tbench-ra-client,82.50,4.766MiB,0.03,434MB,435MB
1776930620.311779769,tbench-ra-probe,11.59,106.7MiB,0.67,774kB,940MB
1776930620.311779769,tbench-ra-origin,60.77,9.84MiB,0.06,919MB,7.56MB
1776930623.875374197,tbench-ra-server,60.37,37.39MiB,7.30,2.09GB,2.07GB
1776930623.875374197,tbench-ra-client,88.88,5.613MiB,0.04,2.52GB,2.52GB
1776930623.875374197,tbench-ra-probe,10.59,110.2MiB,0.69,2.02MB,2.51GB
1776930623.875374197,tbench-ra-origin,60.45,9.145MiB,0.06,2.51GB,20.8MB
1776930627.438367691,tbench-ra-server,59.92,37.68MiB,7.36,4.21GB,4.19GB
1776930627.438367691,tbench-ra-client,92.83,4.32MiB,0.03,3.75GB,3.76GB
1776930627.438367691,tbench-ra-probe,10.90,114.2MiB,0.71,3.35MB,4.19GB
1776930627.438367691,tbench-ra-origin,60.85,9.68MiB,0.06,4.2GB,35.4MB
1776930630.993240360,tbench-ra-server,60.39,37.57MiB,7.34,5.87GB,5.85GB
1776930630.993240360,tbench-ra-client,93.70,4.184MiB,0.03,5.9GB,5.9GB
1776930630.993240360,tbench-ra-probe,11.38,112MiB,0.70,4.27MB,5.36GB
1776930630.993240360,tbench-ra-origin,61.23,9.719MiB,0.06,5.87GB,49.5MB
1776930634.562320899,tbench-ra-server,59.41,37.34MiB,7.29,7.44GB,7.43GB
1776930634.562320899,tbench-ra-client,93.71,4.348MiB,0.03,7.03GB,7.03GB
1776930634.562320899,tbench-ra-probe,10.98,109.5MiB,0.69,5.87MB,7.4GB
1776930634.562320899,tbench-ra-origin,60.62,9.516MiB,0.06,7.46GB,62.8MB
1776930638.125851129,tbench-ra-server,60.23,37.16MiB,7.26,8.65GB,8.64GB
1776930638.125851129,tbench-ra-client,90.87,4.355MiB,0.03,8.71GB,8.72GB
1776930638.125851129,tbench-ra-probe,11.32,109.1MiB,0.68,6.82MB,8.61GB
1776930638.125851129,tbench-ra-origin,61.11,9.32MiB,0.06,9.15GB,77.4MB
1776930641.688393059,tbench-ra-server,59.98,37.41MiB,7.31,10.8GB,10.8GB
1776930641.688393059,tbench-ra-client,92.22,4.332MiB,0.03,10.9GB,10.9GB
1776930641.688393059,tbench-ra-probe,10.91,115.1MiB,0.72,8.13MB,10.3GB
1776930641.688393059,tbench-ra-origin,60.93,9.93MiB,0.06,10.8GB,91.7MB
1776930645.257495296,tbench-ra-server,59.88,37.96MiB,7.41,12.5GB,12.5GB
1776930645.257495296,tbench-ra-client,91.28,4.484MiB,0.03,12.6GB,12.6GB
1776930645.257495296,tbench-ra-probe,11.41,108.2MiB,0.68,9.79MB,12.4GB
1776930645.257495296,tbench-ra-origin,61.37,9.621MiB,0.06,12GB,102MB
1776930648.816796043,tbench-ra-server,60.42,37.33MiB,7.29,14.1GB,14.1GB
1776930648.816796043,tbench-ra-client,92.66,4.457MiB,0.03,14.2GB,14.3GB
1776930648.816796043,tbench-ra-probe,12.35,118.7MiB,0.74,11.1MB,14.1GB
1776930648.816796043,tbench-ra-origin,61.05,9.93MiB,0.06,13.7GB,116MB
1776930652.377042907,tbench-ra-server,60.00,37.85MiB,7.39,15.8GB,15.8GB
1776930652.377042907,tbench-ra-client,90.64,4.234MiB,0.03,15.4GB,15.4GB
1776930652.377042907,tbench-ra-probe,11.62,113.8MiB,0.71,12.4MB,15.7GB
1776930652.377042907,tbench-ra-origin,61.17,9.984MiB,0.06,15.8GB,135MB
1776930655.937889880,tbench-ra-server,59.66,37.6MiB,7.34,17.4GB,17.4GB
1776930655.937889880,tbench-ra-client,89.54,4.547MiB,0.03,17.6GB,17.6GB
1776930655.937889880,tbench-ra-probe,11.07,110.4MiB,0.69,13.7MB,17.3GB
1776930655.937889880,tbench-ra-origin,60.82,9.762MiB,0.06,17GB,145MB
1776930659.496105330,tbench-ra-server,59.46,37.44MiB,7.31,19.1GB,19.1GB
1776930659.496105330,tbench-ra-client,89.99,4.445MiB,0.03,19.3GB,19.3GB
1776930659.496105330,tbench-ra-probe,10.59,111.9MiB,0.70,15MB,19GB
1776930659.496105330,tbench-ra-origin,61.04,10.29MiB,0.06,18.7GB,159MB
1776930663.061828718,tbench-ra-server,59.75,37.14MiB,7.25,20.7GB,20.7GB
1776930663.061828718,tbench-ra-client,93.01,4.348MiB,0.03,20.4GB,20.4GB
1776930663.061828718,tbench-ra-probe,10.61,116.2MiB,0.73,16.2MB,20.6GB
1776930663.061828718,tbench-ra-origin,60.24,9.605MiB,0.06,20.8GB,177MB
1776930666.622410363,tbench-ra-server,59.73,37.71MiB,7.36,22.2GB,22.2GB
1776930666.622410363,tbench-ra-client,89.36,4.492MiB,0.03,22.4GB,22.4GB
1776930666.622410363,tbench-ra-probe,10.64,115MiB,0.72,17MB,21.6GB
1776930666.622410363,tbench-ra-origin,60.70,10.14MiB,0.06,22.3GB,190MB
1776930670.186138236,tbench-ra-server,59.90,37.77MiB,7.38,23.8GB,23.9GB
1776930670.186138236,tbench-ra-client,92.03,4.109MiB,0.03,24GB,24.1GB
1776930670.186138236,tbench-ra-probe,10.96,112.4MiB,0.70,18.7MB,23.7GB
1776930670.186138236,tbench-ra-origin,61.06,9.707MiB,0.06,23.5GB,200MB
1776930673.747219297,tbench-ra-server,59.48,37.81MiB,7.38,25.4GB,25.5GB
1776930673.747219297,tbench-ra-client,90.04,3.961MiB,0.02,25.2GB,25.2GB
1776930673.747219297,tbench-ra-probe,10.98,111.8MiB,0.70,20MB,25.3GB
