ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776930049.528008784,tbench-bo-server,26.81,2.918MiB,0.57,375MB,373MB
1776930049.528008784,tbench-bo-client,61.66,2.797MiB,0.02,773MB,775MB
1776930049.528008784,tbench-bo-probe,7.32,3.188MiB,0.02,705kB,767MB
1776930049.528008784,tbench-bo-origin,50.04,1.367MiB,0.01,773MB,8.95MB
1776930053.090235876,tbench-bo-server,33.23,2.656MiB,0.52,2.18GB,2.18GB
1776930053.090235876,tbench-bo-client,62.48,2.559MiB,0.02,2.2GB,2.21GB
1776930053.090235876,tbench-bo-probe,8.34,3.379MiB,0.02,2.02MB,2.18GB
1776930053.090235876,tbench-bo-origin,51.20,1.863MiB,0.01,1.81GB,21.1MB
1776930056.646746337,tbench-bo-server,28.31,2.613MiB,0.51,3.62GB,3.61GB
1776930056.646746337,tbench-bo-client,61.96,2.535MiB,0.02,3.65GB,3.66GB
1776930056.646746337,tbench-bo-probe,7.54,3.113MiB,0.02,3.34MB,3.61GB
1776930056.646746337,tbench-bo-origin,50.59,1.625MiB,0.01,3.24GB,38.1MB
1776930060.201654729,tbench-bo-server,28.78,2.699MiB,0.53,4.61GB,4.61GB
1776930060.201654729,tbench-bo-client,62.17,2.52MiB,0.02,5.08GB,5.09GB
1776930060.201654729,tbench-bo-probe,7.69,4.004MiB,0.03,4.65MB,5.02GB
1776930060.201654729,tbench-bo-origin,51.68,1.426MiB,0.01,5.08GB,60.1MB
1776930063.756822861,tbench-bo-server,28.71,2.66MiB,0.52,6.33GB,6.33GB
1776930063.756822861,tbench-bo-client,61.60,2.512MiB,0.02,6.4GB,6.41GB
1776930063.756822861,tbench-bo-probe,8.06,4.082MiB,0.03,5.87MB,6.32GB
1776930063.756822861,tbench-bo-origin,50.20,1.395MiB,0.01,6.04GB,71.2MB
1776930067.323237122,tbench-bo-server,28.98,2.785MiB,0.54,7.69GB,7.69GB
1776930067.323237122,tbench-bo-client,62.26,2.746MiB,0.02,7.4GB,7.41GB
1776930067.323237122,tbench-bo-probe,7.56,4.051MiB,0.03,6.79MB,7.31GB
1776930067.323237122,tbench-bo-origin,50.61,1.375MiB,0.01,7.78GB,91.7MB
1776930070.882286181,tbench-bo-server,28.24,3.199MiB,0.62,8.71GB,8.71GB
1776930070.882286181,tbench-bo-client,66.07,2.969MiB,0.02,9.22GB,9.24GB
1776930070.882286181,tbench-bo-probe,7.97,4MiB,0.03,8.47MB,9.11GB
1776930070.882286181,tbench-bo-origin,51.53,1.363MiB,0.01,9.23GB,109MB
1776930074.444895242,tbench-bo-server,28.70,3.195MiB,0.62,10.5GB,10.5GB
1776930074.444895242,tbench-bo-client,65.24,2.711MiB,0.02,10.6GB,10.6GB
1776930074.444895242,tbench-bo-probe,7.47,3.855MiB,0.02,9.75MB,10.5GB
1776930074.444895242,tbench-bo-origin,51.71,1.125MiB,0.01,10.2GB,120MB
1776930078.007185764,tbench-bo-server,29.38,3.254MiB,0.64,11.8GB,11.8GB
1776930078.007185764,tbench-bo-client,65.51,3.016MiB,0.02,11.6GB,11.6GB
1776930078.007185764,tbench-bo-probe,8.15,3.844MiB,0.02,11MB,11.8GB
1776930078.007185764,tbench-bo-origin,51.42,1.129MiB,0.01,12GB,141MB
1776930081.565945971,tbench-bo-server,29.45,2.699MiB,0.53,13.2GB,13.2GB
1776930081.565945971,tbench-bo-client,65.98,2.992MiB,0.02,13.3GB,13.3GB
1776930081.565945971,tbench-bo-probe,7.93,3.52MiB,0.02,12.3MB,13.2GB
1776930081.565945971,tbench-bo-origin,50.89,1.141MiB,0.01,13GB,153MB
1776930085.119295951,tbench-bo-server,28.51,2.625MiB,0.51,14.6GB,14.6GB
1776930085.119295951,tbench-bo-client,66.12,2.762MiB,0.02,14.7GB,14.8GB
1776930085.119295951,tbench-bo-probe,7.93,3.828MiB,0.02,13.2MB,14.2GB
1776930085.119295951,tbench-bo-origin,51.00,1.129MiB,0.01,14.7GB,173MB
1776930088.674030649,tbench-bo-server,29.20,2.922MiB,0.57,16GB,16GB
1776930088.674030649,tbench-bo-client,66.25,3.023MiB,0.02,16.2GB,16.2GB
1776930088.674030649,tbench-bo-probe,7.95,3.922MiB,0.02,14.9MB,16GB
1776930088.674030649,tbench-bo-origin,51.53,1.371MiB,0.01,15.8GB,186MB
1776930092.243166574,tbench-bo-server,28.95,3.195MiB,0.62,17.4GB,17.4GB
1776930092.243166574,tbench-bo-client,65.80,3MiB,0.02,17.6GB,17.6GB
1776930092.243166574,tbench-bo-probe,7.79,3.512MiB,0.02,16.2MB,17.4GB
1776930092.243166574,tbench-bo-origin,51.92,1.383MiB,0.01,17.2GB,203MB
1776930095.796233835,tbench-bo-server,28.66,3.215MiB,0.63,18.4GB,18.4GB
1776930095.796233835,tbench-bo-client,65.44,2.977MiB,0.02,19GB,19.1GB
1776930095.796233835,tbench-bo-probe,7.40,4.035MiB,0.03,17.5MB,18.8GB
1776930095.796233835,tbench-bo-origin,50.99,1.629MiB,0.01,19.1GB,224MB
1776930099.354166338,tbench-bo-server,28.13,3.609MiB,0.70,20.2GB,20.2GB
1776930099.354166338,tbench-bo-client,65.75,3.004MiB,0.02,20.1GB,20.1GB
1776930099.354166338,tbench-bo-probe,7.77,3.238MiB,0.02,18.9MB,20.2GB
1776930099.354166338,tbench-bo-origin,51.52,1.137MiB,0.01,20.5GB,241MB
1776930102.911069430,tbench-bo-server,27.62,3.109MiB,0.61,21.6GB,21.6GB
1776930102.911069430,tbench-bo-client,65.21,2.773MiB,0.02,21.9GB,21.9GB
1776930102.911069430,tbench-bo-probe,7.40,3.848MiB,0.02,20.2MB,21.6GB
1776930102.911069430,tbench-bo-origin,51.67,1.406MiB,0.01,21.5GB,253MB
