ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776929975.584396850,tbench-ch-server,73.88,12.31MiB,2.40,639MB,634MB
1776929975.584396850,tbench-ch-client,177.69,10.15MiB,0.06,634MB,631MB
1776929975.584396850,tbench-ch-probe,6.42,4.203MiB,0.03,216kB,636MB
1776929975.584396850,tbench-ch-origin,13.98,1.293MiB,0.01,294MB,588kB
1776929979.145816428,tbench-ch-server,70.42,12.57MiB,2.45,1.7GB,1.7GB
1776929979.145816428,tbench-ch-client,179.07,10.33MiB,0.06,1.7GB,1.7GB
1776929979.145816428,tbench-ch-probe,6.04,4.035MiB,0.03,554kB,1.7GB
1776929979.145816428,tbench-ch-origin,14.40,1.473MiB,0.01,1.4GB,2.8MB
1776929982.716016499,tbench-ch-server,73.98,12.81MiB,2.50,2.8GB,2.8GB
1776929982.716016499,tbench-ch-client,181.07,10.25MiB,0.06,2.8GB,2.8GB
1776929982.716016499,tbench-ch-probe,6.58,4.242MiB,0.03,896kB,2.79GB
1776929982.716016499,tbench-ch-origin,14.88,1.121MiB,0.01,2.48GB,4.94MB
1776929986.279194097,tbench-ch-server,74.00,12.56MiB,2.45,3.96GB,3.95GB
1776929986.279194097,tbench-ch-client,180.32,10.91MiB,0.07,3.96GB,3.95GB
1776929986.279194097,tbench-ch-probe,6.69,4.445MiB,0.03,1.26MB,3.94GB
1776929986.279194097,tbench-ch-origin,15.32,1.227MiB,0.01,3.62GB,7.24MB
1776929989.854892528,tbench-ch-server,73.34,12.66MiB,2.47,5.09GB,5.09GB
1776929989.854892528,tbench-ch-client,180.48,10.2MiB,0.06,4.8GB,4.79GB
1776929989.854892528,tbench-ch-probe,6.25,4.16MiB,0.03,1.62MB,5.07GB
1776929989.854892528,tbench-ch-origin,14.60,1.469MiB,0.01,5.07GB,10.1MB
1776929993.420725664,tbench-ch-server,73.56,12.88MiB,2.52,6.2GB,6.2GB
1776929993.420725664,tbench-ch-client,180.04,10.5MiB,0.07,6.21GB,6.2GB
1776929993.420725664,tbench-ch-probe,6.72,4.363MiB,0.03,1.98MB,6.17GB
1776929993.420725664,tbench-ch-origin,14.69,1.336MiB,0.01,5.87GB,11.7MB
1776929996.983666527,tbench-ch-server,74.11,12.8MiB,2.50,7.34GB,7.34GB
1776929996.983666527,tbench-ch-client,176.83,9.469MiB,0.06,7.03GB,7.02GB
1776929996.983666527,tbench-ch-probe,6.55,4.398MiB,0.03,2.35MB,7.31GB
1776929996.983666527,tbench-ch-origin,14.76,1.195MiB,0.01,6.99GB,14MB
1776930000.548164654,tbench-ch-server,74.81,12.62MiB,2.47,8.47GB,8.47GB
1776930000.548164654,tbench-ch-client,178.44,9.934MiB,0.06,8.18GB,8.17GB
1776930000.548164654,tbench-ch-probe,6.64,4.543MiB,0.03,2.72MB,8.44GB
1776930000.548164654,tbench-ch-origin,15.23,1.449MiB,0.01,8.44GB,16.9MB
1776930004.111088605,tbench-ch-server,74.21,12.97MiB,2.53,9.51GB,9.51GB
1776930004.111088605,tbench-ch-client,180.80,9.895MiB,0.06,9.53GB,9.51GB
1776930004.111088605,tbench-ch-probe,6.57,5.277MiB,0.03,2.97MB,9.19GB
1776930004.111088605,tbench-ch-origin,14.83,1.129MiB,0.01,9.48GB,18.9MB
1776930007.689751987,tbench-ch-server,74.20,12.55MiB,2.45,10.5GB,10.5GB
1776930007.689751987,tbench-ch-client,180.77,10.5MiB,0.07,10.5GB,10.5GB
1776930007.689751987,tbench-ch-probe,6.52,4.055MiB,0.03,3.29MB,10.2GB
1776930007.689751987,tbench-ch-origin,14.98,1.164MiB,0.01,10.5GB,20.9MB
1776930011.265471178,tbench-ch-server,69.65,12.39MiB,2.42,11.6GB,11.6GB
1776930011.265471178,tbench-ch-client,178.30,10.42MiB,0.07,11.4GB,11.3GB
1776930011.265471178,tbench-ch-probe,6.08,4.77MiB,0.03,3.72MB,11.6GB
