ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776929732.084919815,tbench-b0-probe,70.24,1.648MiB,0.01,8.57MB,6.35GB
1776929732.084919815,tbench-b0-origin,56.60,1.547MiB,0.01,3.25GB,4.42MB
1776929735.630482071,tbench-b0-probe,69.44,1.652MiB,0.01,18.8MB,14GB
1776929735.630482071,tbench-b0-origin,58.91,1.867MiB,0.01,17.2GB,23.1MB
1776929739.177809476,tbench-b0-probe,70.20,1.668MiB,0.01,37.9MB,28.3GB
1776929739.177809476,tbench-b0-origin,57.48,1.367MiB,0.01,25GB,33.6MB
1776929742.725032484,tbench-b0-probe,70.70,1.863MiB,0.01,52.7MB,39.3GB
1776929742.725032484,tbench-b0-origin,57.77,1.566MiB,0.01,36.3GB,48.6MB
1776929746.275380634,tbench-b0-probe,70.58,3.469MiB,0.02,63.2MB,47.2GB
1776929746.275380634,tbench-b0-origin,58.16,1.816MiB,0.01,50.4GB,67.5MB
1776929749.833018714,tbench-b0-probe,70.32,1.82MiB,0.01,81.7MB,61GB
1776929749.833018714,tbench-b0-origin,56.06,1.504MiB,0.01,58GB,77.7MB
1776929753.387027887,tbench-b0-probe,70.52,1.77MiB,0.01,96.6MB,72.2GB
1776929753.387027887,tbench-b0-origin,58.05,2.203MiB,0.01,69.1GB,92.4MB
1776929756.936603556,tbench-b0-probe,70.52,1.781MiB,0.01,107MB,80.2GB
1776929756.936603556,tbench-b0-origin,57.11,1.895MiB,0.01,83.2GB,111MB
1776929760.484408691,tbench-b0-probe,70.33,1.539MiB,0.01,126MB,94.3GB
1776929760.484408691,tbench-b0-origin,58.55,1.395MiB,0.01,91.2GB,122MB
1776929764.032208126,tbench-b0-probe,70.40,1.555MiB,0.01,139MB,104GB
1776929764.032208126,tbench-b0-origin,58.26,1.691MiB,0.01,102GB,136MB
1776929767.586775018,tbench-b0-probe,69.81,1.816MiB,0.01,153MB,115GB
1776929767.586775018,tbench-b0-origin,57.13,1.508MiB,0.01,112GB,149MB
1776929771.135547027,tbench-b0-probe,69.91,1.699MiB,0.01,168MB,126GB
1776929771.135547027,tbench-b0-origin,58.25,1.379MiB,0.01,123GB,164MB
1776929774.685970769,tbench-b0-probe,70.01,1.836MiB,0.01,183MB,137GB
1776929774.685970769,tbench-b0-origin,58.71,1.812MiB,0.01,134GB,179MB
1776929778.236289202,tbench-b0-probe,70.39,1.723MiB,0.01,199MB,149GB
1776929778.236289202,tbench-b0-origin,61.04,1.875MiB,0.01,146GB,195MB
1776929781.785858113,tbench-b0-probe,69.72,1.793MiB,0.01,214MB,160GB
1776929781.785858113,tbench-b0-origin,58.21,1.883MiB,0.01,157GB,210MB
1776929785.341053972,tbench-b0-probe,70.70,1.684MiB,0.01,228MB,171GB
1776929785.341053972,tbench-b0-origin,58.58,1.453MiB,0.01,168GB,224MB
1776929788.888472360,tbench-b0-probe,70.24,1.754MiB,0.01,244MB,182GB
1776929788.888472360,tbench-b0-origin,57.51,1.27MiB,0.01,179GB,239MB
