ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776929806.454725241,tbench-wg-server,0.00,524KiB,0.10,346MB,370MB
1776929806.454725241,tbench-wg-client,0.00,528KiB,0.00,177MB,168MB
1776929806.454725241,tbench-wg-probe,6.58,4.309MiB,0.03,2.84MB,339MB
1776929806.454725241,tbench-wg-origin,32.84,2.066MiB,0.01,344MB,2.84MB
1776929810.041796197,tbench-wg-server,0.00,524KiB,0.10,961MB,1.04GB
1776929810.041796197,tbench-wg-client,0.00,516KiB,0.00,854MB,807MB
1776929810.041796197,tbench-wg-probe,12.82,4.844MiB,0.03,7.79MB,945MB
1776929810.041796197,tbench-wg-origin,32.06,1.863MiB,0.01,962MB,7.78MB
1776929813.674303030,tbench-wg-server,0.00,524KiB,0.10,1.55GB,1.67GB
1776929813.674303030,tbench-wg-client,0.00,516KiB,0.00,1.67GB,1.58GB
1776929813.674303030,tbench-wg-probe,8.37,5.137MiB,0.03,11.3MB,1.37GB
1776929813.674303030,tbench-wg-origin,31.41,1.805MiB,0.01,1.55GB,12.6MB
1776929817.298348063,tbench-wg-server,0.00,524KiB,0.10,2.16GB,2.33GB
1776929817.298348063,tbench-wg-client,0.00,516KiB,0.00,2.14GB,2.03GB
1776929817.298348063,tbench-wg-probe,6.95,4.684MiB,0.03,17.4MB,2.13GB
1776929817.298348063,tbench-wg-origin,31.11,1.805MiB,0.01,2.17GB,17.4MB
1776929820.938653234,tbench-wg-server,0.00,524KiB,0.10,2.8GB,3.02GB
1776929820.938653234,tbench-wg-client,0.00,516KiB,0.00,2.82GB,2.66GB
1776929820.938653234,tbench-wg-probe,6.94,4.406MiB,0.03,22.4MB,2.75GB
1776929820.938653234,tbench-wg-origin,31.04,2.234MiB,0.01,2.8GB,22.4MB
1776929824.545302605,tbench-wg-server,0.00,524KiB,0.10,3.4GB,3.67GB
1776929824.545302605,tbench-wg-client,0.00,516KiB,0.00,3.67GB,3.47GB
1776929824.545302605,tbench-wg-probe,6.63,5.02MiB,0.03,25.8MB,3.18GB
1776929824.545302605,tbench-wg-origin,30.68,1.918MiB,0.01,3.42GB,27.2MB
1776929828.163436679,tbench-wg-server,0.00,524KiB,0.10,3.94GB,4.25GB
1776929828.163436679,tbench-wg-client,0.00,516KiB,0.00,4.09GB,3.87GB
