ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776930865.967261936,tbench-fr-server,92.52,10.18MiB,1.99,31.7MB,30.6MB
1776930865.967261936,tbench-fr-client,93.76,11.55MiB,0.07,12.9MB,13.4MB
1776930865.967261936,tbench-fr-probe,0.00,404KiB,0.00,1.36kB,126B
1776930869.526506076,tbench-fr-server,90.71,15.07MiB,2.94,93.5MB,90.2MB
1776930869.526506076,tbench-fr-client,131.25,17.82MiB,0.11,93.7MB,96.6MB
1776930869.526506076,tbench-fr-probe,0.00,404KiB,0.00,1.48kB,126B
1776930873.097548347,tbench-fr-server,88.41,15.54MiB,3.04,151MB,145MB
1776930873.097548347,tbench-fr-client,126.32,18.7MiB,0.12,151MB,156MB
1776930873.097548347,tbench-fr-probe,0.00,404KiB,0.00,1.48kB,126B
1776930876.675437109,tbench-fr-server,86.32,18.14MiB,3.54,214MB,207MB
1776930876.675437109,tbench-fr-client,126.25,20.53MiB,0.13,197MB,203MB
1776930876.675437109,tbench-fr-probe,0.00,404KiB,0.00,1.55kB,126B
1776930880.248292896,tbench-fr-server,90.33,18.49MiB,3.61,279MB,269MB
1776930880.248292896,tbench-fr-client,122.53,20.55MiB,0.13,280MB,288MB
1776930880.248292896,tbench-fr-probe,0.00,404KiB,0.00,1.55kB,126B
1776930883.818762586,tbench-fr-server,83.67,18.96MiB,3.70,341MB,329MB
1776930883.818762586,tbench-fr-client,129.14,20.71MiB,0.13,343MB,353MB
1776930883.818762586,tbench-fr-probe,0.00,404KiB,0.00,1.55kB,126B
1776930887.393883936,tbench-fr-server,85.26,19.39MiB,3.79,405MB,391MB
1776930887.393883936,tbench-fr-client,120.86,20.88MiB,0.13,407MB,419MB
1776930887.393883936,tbench-fr-probe,0.00,404KiB,0.00,1.55kB,126B
1776930890.962107085,tbench-fr-server,82.65,19.14MiB,3.74,470MB,454MB
1776930890.962107085,tbench-fr-client,127.49,21.54MiB,0.13,472MB,486MB
1776930890.962107085,tbench-fr-probe,0.00,404KiB,0.00,1.55kB,126B
1776930894.528235021,tbench-fr-server,60.12,18.8MiB,3.67,527MB,509MB
1776930894.528235021,tbench-fr-client,91.91,20.51MiB,0.13,530MB,545MB
1776930894.528235021,tbench-fr-probe,0.00,404KiB,0.00,1.55kB,126B
1776930898.087663554,tbench-fr-server,101.52,33.27MiB,6.50,1.72GB,1.69GB
1776930898.087663554,tbench-fr-client,139.03,25.51MiB,0.16,1.72GB,1.73GB
1776930898.087663554,tbench-fr-probe,0.00,404KiB,0.00,1.78kB,126B
1776930901.655844220,tbench-fr-server,102.95,33.43MiB,6.53,2.94GB,2.91GB
1776930901.655844220,tbench-fr-client,143.37,25.94MiB,0.16,2.93GB,2.95GB
1776930901.655844220,tbench-fr-probe,0.00,404KiB,0.00,1.78kB,126B
1776930905.221272133,tbench-fr-server,102.80,36MiB,7.03,3.74GB,3.7GB
1776930905.221272133,tbench-fr-client,142.44,24.95MiB,0.16,4.02GB,4.05GB
1776930905.221272133,tbench-fr-probe,0.00,404KiB,0.00,1.78kB,126B
1776930908.798873461,tbench-fr-server,101.76,39.5MiB,7.71,5.24GB,5.19GB
1776930908.798873461,tbench-fr-client,140.10,27.15MiB,0.17,5.21GB,5.25GB
1776930908.798873461,tbench-fr-probe,0.00,404KiB,0.00,1.78kB,126B
1776930912.371899925,tbench-fr-server,102.95,39.82MiB,7.78,6.53GB,6.47GB
1776930912.371899925,tbench-fr-client,140.56,26.74MiB,0.17,6.49GB,6.53GB
1776930912.371899925,tbench-fr-probe,0.00,404KiB,0.00,1.78kB,126B
1776930915.940746822,tbench-fr-server,102.77,39.85MiB,7.78,7.84GB,7.77GB
1776930915.940746822,tbench-fr-client,141.81,26.3MiB,0.16,7.42GB,7.47GB
1776930915.940746822,tbench-fr-probe,0.00,404KiB,0.00,1.78kB,126B
1776930919.502211861,tbench-fr-server,102.71,39.9MiB,7.79,9.09GB,9.01GB
1776930919.502211861,tbench-fr-client,144.01,26.24MiB,0.16,9.03GB,9.09GB
1776930919.502211861,tbench-fr-probe,0.00,404KiB,0.00,1.78kB,126B
1776930923.073406349,tbench-fr-server,103.02,45.31MiB,8.85,9.89GB,9.81GB
1776930923.073406349,tbench-fr-client,131.58,26.19MiB,0.16,10.1GB,10.2GB
1776930923.073406349,tbench-fr-probe,0.00,404KiB,0.00,1.78kB,126B
1776930926.638868762,tbench-fr-server,17.22,41.87MiB,8.18,10.7GB,10.7GB
1776930926.638868762,tbench-fr-client,0.00,21.61MiB,0.14,10.7GB,10.7GB
1776930926.638868762,tbench-fr-probe,0.00,404KiB,0.00,1.78kB,126B
