ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776930951.462076045,tbench-ch-server,85.16,11.75MiB,2.30,37.5MB,36.7MB
1776930951.462076045,tbench-ch-client,115.88,12.97MiB,0.08,38.2MB,38.9MB
1776930951.462076045,tbench-ch-probe,0.00,392KiB,0.00,1.47kB,126B
1776930955.025117562,tbench-ch-server,83.80,15MiB,2.93,111MB,109MB
1776930955.025117562,tbench-ch-client,114.00,16.47MiB,0.10,113MB,116MB
1776930955.025117562,tbench-ch-probe,0.00,392KiB,0.00,1.63kB,126B
1776930958.592425115,tbench-ch-server,85.27,15.12MiB,2.95,184MB,180MB
1776930958.592425115,tbench-ch-client,111.34,16.67MiB,0.10,166MB,169MB
1776930958.592425115,tbench-ch-probe,0.00,392KiB,0.00,1.63kB,126B
1776930962.167924627,tbench-ch-server,83.08,15.25MiB,2.98,237MB,232MB
1776930962.167924627,tbench-ch-client,112.09,17.13MiB,0.11,263MB,268MB
1776930962.167924627,tbench-ch-probe,0.00,392KiB,0.00,1.7kB,126B
1776930965.734801661,tbench-ch-server,81.25,15.96MiB,3.12,303MB,297MB
1776930965.734801661,tbench-ch-client,114.60,17.11MiB,0.11,310MB,316MB
1776930965.734801661,tbench-ch-probe,0.00,392KiB,0.00,1.7kB,126B
1776930969.309697023,tbench-ch-server,81.75,15.04MiB,2.94,393MB,385MB
1776930969.309697023,tbench-ch-client,112.40,16.67MiB,0.10,402MB,409MB
1776930969.309697023,tbench-ch-probe,0.00,392KiB,0.00,1.7kB,126B
1776930972.893116605,tbench-ch-server,83.75,15.45MiB,3.02,461MB,451MB
1776930972.893116605,tbench-ch-client,113.34,17.21MiB,0.11,471MB,480MB
1776930972.893116605,tbench-ch-probe,0.00,392KiB,0.00,1.7kB,126B
1776930976.468211044,tbench-ch-server,78.24,15.18MiB,2.96,534MB,523MB
1776930976.468211044,tbench-ch-client,113.55,16.27MiB,0.10,546MB,556MB
1776930976.468211044,tbench-ch-probe,0.00,392KiB,0.00,1.7kB,126B
1776930980.039856647,tbench-ch-server,48.39,14.94MiB,2.92,598MB,585MB
1776930980.039856647,tbench-ch-client,75.38,16MiB,0.10,611MB,622MB
1776930980.039856647,tbench-ch-probe,0.00,392KiB,0.00,1.77kB,126B
1776930983.618241739,tbench-ch-server,102.98,22.33MiB,4.36,1.26GB,1.25GB
1776930983.618241739,tbench-ch-client,94.99,23.57MiB,0.15,1.28GB,1.29GB
1776930983.618241739,tbench-ch-probe,0.00,392KiB,0.00,1.94kB,126B
1776930987.172457104,tbench-ch-server,102.95,23.31MiB,4.55,2.07GB,2.05GB
1776930987.172457104,tbench-ch-client,93.29,26.82MiB,0.17,2.08GB,2.09GB
1776930987.172457104,tbench-ch-probe,0.00,392KiB,0.00,1.94kB,126B
1776930990.729443715,tbench-ch-server,103.77,22.89MiB,4.47,2.85GB,2.83GB
1776930990.729443715,tbench-ch-client,93.78,25.44MiB,0.16,2.86GB,2.87GB
1776930990.729443715,tbench-ch-probe,0.00,392KiB,0.00,1.94kB,126B
1776930994.291705702,tbench-ch-server,102.10,22.92MiB,4.48,3.4GB,3.37GB
1776930994.291705702,tbench-ch-client,93.25,27.06MiB,0.17,3.62GB,3.63GB
1776930994.291705702,tbench-ch-probe,0.00,392KiB,0.00,1.94kB,126B
1776930997.856237872,tbench-ch-server,103.64,23.11MiB,4.51,4.41GB,4.39GB
1776930997.856237872,tbench-ch-client,92.30,27.03MiB,0.17,4.42GB,4.43GB
1776930997.856237872,tbench-ch-probe,0.00,392KiB,0.00,1.94kB,126B
1776931001.425845538,tbench-ch-server,102.85,21.89MiB,4.28,5.21GB,5.18GB
1776931001.425845538,tbench-ch-client,92.46,26.24MiB,0.16,5.21GB,5.22GB
1776931001.425845538,tbench-ch-probe,0.00,392KiB,0.00,1.94kB,126B
1776931004.981227176,tbench-ch-server,102.39,23.13MiB,4.52,5.75GB,5.72GB
1776931004.981227176,tbench-ch-client,91.13,27.68MiB,0.17,5.94GB,5.96GB
1776931004.981227176,tbench-ch-probe,0.00,392KiB,0.00,1.94kB,126B
1776931008.543644465,tbench-ch-server,102.29,23.17MiB,4.52,6.72GB,6.69GB
1776931008.543644465,tbench-ch-client,93.52,26.93MiB,0.17,6.72GB,6.74GB
1776931008.543644465,tbench-ch-probe,0.00,392KiB,0.00,1.94kB,126B
