ts,container,cpu_pct,mem_bytes,mem_pct,net_rx,net_tx
1776931111.870793361,tbench-ra-server,20.33,3.797MiB,0.74,15.6MB,15.4MB
1776931111.870793361,tbench-ra-client,30.55,5.938MiB,0.04,16MB,16MB
1776931111.870793361,tbench-ra-probe,0.00,392KiB,0.00,936B,126B
1776931115.421171641,tbench-ra-server,13.62,3.797MiB,0.74,33.9MB,33.3MB
1776931115.421171641,tbench-ra-client,21.44,6.172MiB,0.04,34.5MB,34.5MB
1776931115.421171641,tbench-ra-probe,0.00,392KiB,0.00,1.09kB,126B
1776931118.971331735,tbench-ra-server,13.84,4.023MiB,0.79,50.9MB,49.9MB
1776931118.971331735,tbench-ra-client,22.15,6.176MiB,0.04,51.5MB,51.5MB
1776931118.971331735,tbench-ra-probe,0.00,392KiB,0.00,1.09kB,126B
1776931122.519854297,tbench-ra-server,13.32,4.27MiB,0.83,67MB,65.7MB
1776931122.519854297,tbench-ra-client,21.43,5.266MiB,0.03,67.7MB,67.7MB
1776931122.519854297,tbench-ra-probe,0.00,392KiB,0.00,1.16kB,126B
1776931126.069501666,tbench-ra-server,14.13,4.023MiB,0.79,83MB,81.4MB
1776931126.069501666,tbench-ra-client,21.99,5.547MiB,0.03,83.7MB,83.7MB
1776931126.069501666,tbench-ra-probe,0.00,392KiB,0.00,1.16kB,126B
1776931129.612684108,tbench-ra-server,19.19,3.805MiB,0.74,100MB,98.5MB
1776931129.612684108,tbench-ra-client,29.94,5.691MiB,0.04,108MB,108MB
1776931129.612684108,tbench-ra-probe,0.00,392KiB,0.00,1.16kB,126B
1776931133.162658888,tbench-ra-server,18.18,4.039MiB,0.79,126MB,124MB
1776931133.162658888,tbench-ra-client,24.79,5.938MiB,0.04,122MB,122MB
1776931133.162658888,tbench-ra-probe,0.00,392KiB,0.00,1.16kB,126B
1776931136.722150755,tbench-ra-server,12.82,3.797MiB,0.74,138MB,135MB
1776931136.722150755,tbench-ra-client,21.96,5.918MiB,0.04,144MB,144MB
1776931136.722150755,tbench-ra-probe,0.00,392KiB,0.00,1.16kB,126B
1776931140.274359630,tbench-ra-server,10.49,2.402MiB,0.47,160MB,157MB
1776931140.274359630,tbench-ra-client,16.45,5.145MiB,0.03,161MB,161MB
1776931140.274359630,tbench-ra-probe,0.00,392KiB,0.00,1.23kB,126B
1776931143.840382809,tbench-ra-server,51.85,9.109MiB,1.78,1.07GB,1.06GB
1776931143.840382809,tbench-ra-client,49.13,11.1MiB,0.07,1.06GB,1.07GB
1776931143.840382809,tbench-ra-probe,0.00,392KiB,0.00,1.4kB,126B
1776931147.400838466,tbench-ra-server,52.07,7.719MiB,1.51,1.76GB,1.75GB
1776931147.400838466,tbench-ra-client,50.93,11.26MiB,0.07,2GB,2.01GB
1776931147.400838466,tbench-ra-probe,0.00,392KiB,0.00,1.4kB,126B
1776931150.960506235,tbench-ra-server,51.28,8.734MiB,1.71,2.71GB,2.7GB
1776931150.960506235,tbench-ra-client,48.48,10.74MiB,0.07,2.96GB,2.98GB
1776931150.960506235,tbench-ra-probe,0.00,392KiB,0.00,1.4kB,126B
1776931154.515412635,tbench-ra-server,51.45,8.902MiB,1.74,3.7GB,3.69GB
1776931154.515412635,tbench-ra-client,50.09,11.07MiB,0.07,3.95GB,3.98GB
1776931154.515412635,tbench-ra-probe,0.00,392KiB,0.00,1.4kB,126B
1776931158.078126522,tbench-ra-server,50.81,8.414MiB,1.64,4.72GB,4.71GB
1776931158.078126522,tbench-ra-client,51.19,10.89MiB,0.07,4.96GB,4.99GB
1776931158.078126522,tbench-ra-probe,0.00,392KiB,0.00,1.4kB,126B
1776931161.631186483,tbench-ra-server,51.63,8.926MiB,1.74,5.96GB,5.95GB
1776931161.631186483,tbench-ra-client,49.52,12.33MiB,0.08,5.62GB,5.66GB
1776931161.631186483,tbench-ra-probe,0.00,392KiB,0.00,1.4kB,126B
1776931165.190268346,tbench-ra-server,50.76,8.77MiB,1.71,6.95GB,6.94GB
1776931165.190268346,tbench-ra-client,49.69,10.99MiB,0.07,6.87GB,6.91GB
1776931165.190268346,tbench-ra-probe,0.00,392KiB,0.00,1.4kB,126B
1776931168.749178403,tbench-ra-server,51.99,8.836MiB,1.73,7.95GB,7.94GB
1776931168.749178403,tbench-ra-client,51.01,10.79MiB,0.07,7.86GB,7.91GB
1776931168.749178403,tbench-ra-probe,0.00,392KiB,0.00,1.4kB,126B
1776931172.305496373,tbench-ra-server,0.00,3.09MiB,0.60,8.46GB,8.45GB
1776931172.305496373,tbench-ra-client,0.00,5.309MiB,0.03,8.36GB,8.42GB
1776931172.305496373,tbench-ra-probe,0.00,392KiB,0.00,1.4kB,126B
